Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,30.09500,30.44500,30.42700,30.39100,30.35100,30.31200,30.26300,30.22200,30.17000,Selling,30.76500,30.54500,30.53100,30.50400,30.46600,30.42300,30.37700,30.34400,30.31100,
HKD,Buying,3.73800,3.86400,3.86100,3.85500,3.84900,3.84400,3.83700,3.83100,3.82500,Selling,3.94200,3.92400,3.92200,3.91800,3.91200,3.90700,3.90200,3.89700,3.89200,
GBP,Buying,38.20000,39.20000,39.19500,39.18600,39.16600,39.14600,39.11700,39.08700,39.05800,Selling,40.32000,39.62000,39.62400,39.63200,39.61200,39.58800,39.57300,39.55700,39.54100,
AUD,Buying,20.27000,20.54000,20.53400,20.52200,20.50800,20.49600,20.48100,20.46400,20.44700,Selling,21.05000,20.77000,20.76800,20.76500,20.75300,20.73900,20.73100,20.72200,20.71000,
CAD,Buying,22.46000,22.85000,22.83700,22.81000,22.78500,22.75700,22.72300,22.68800,22.65400,Selling,23.37000,23.07000,23.06300,23.04900,23.02600,22.99600,22.96900,22.94200,22.91600,
SGD,Buying,21.70000,22.19000,22.17900,22.15700,22.13200,22.10800,22.08300,22.05800,22.03300,Selling,22.61000,22.37000,22.36400,22.35200,22.32900,22.30800,22.29200,22.27500,22.25900,
CHF,Buying,29.68000,30.34000,30.35000,30.37000,30.39200,30.41500,30.43300,30.45100,30.46900,Selling,30.88000,30.63000,30.65000,30.68900,30.71400,30.73300,30.76400,30.79500,30.82600,
JPY,Buying,0.26900,0.27630,0.27640,0.27660,0.27660,0.27670,0.27670,0.27680,0.27680,Selling,0.28180,0.28030,0.28050,0.28090,0.28090,0.28100,0.28120,0.28130,0.28150,
ZAR,Buying,0.00000,2.03000,2.02500,2.01500,2.00400,1.99300,1.98100,1.97000,1.95800,Selling,0.00000,2.11000,2.10700,2.10100,2.08900,2.07800,2.06700,2.05700,2.04600,
SEK,Buying,2.80000,3.14000,3.14000,3.14100,3.14100,3.14100,3.14100,3.14000,3.13900,Selling,3.32000,3.24000,3.24100,3.24400,3.24500,3.24500,3.24500,3.24600,3.24600,
NZD,Buying,19.21000,19.59000,19.58100,19.56200,19.54200,19.52500,19.50300,19.48000,19.45800,Selling,20.06000,19.79000,19.78800,19.78400,19.76600,19.74600,19.73200,19.71700,19.70200,
THB,Buying,0.88380,0.99240,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.07180,1.03240,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.52350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.65650,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00183,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00253,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,32.78000,33.40000,33.40700,33.42200,33.43600,33.45200,33.46200,33.47100,33.48000,Selling,34.12000,33.80000,33.81800,33.85300,33.87300,33.88700,33.91300,33.93800,33.96300,
KRW,Buying,0.02398,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02788,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00094,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,6.18200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,7.82600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.23300,4.30500,4.30060,4.29190,4.28160,4.27160,4.26040,4.24920,4.23800,Selling,4.39500,4.35500,4.35220,4.34660,4.33870,4.33050,4.32300,4.31550,4.30810,
